name,created_at,location,statuses_count,followers_count,favourites_count,friends_count,lang,dataset
Chara Rowland,3200,903,55,27,0,617,en,1
Barbera Winters,3200,383,75,21,0,592,en,1
Jamee Brock,3200,625,50,23,0,556,en,1
Jonell Mullins,3200,136,51,12,0,503,en,1
Fidel Montgomery,3200,1279,45,22,0,509,en,1
Anitra Parks,3200,777,45,27,0,702,en,1
Hannah Wallace,3200,139,78,25,0,752,en,1
Monty Guzman,3200,1637,55,34,0,574,en,1
Lita Ortiz,3200,1323,39,24,0,526,en,1
Shelia Stanton,3200,1134,65,26,0,550,en,1
Marlene Mcfarland,3200,1295,44,20,0,562,en,1
Lera Faulkner,3200,87,60,23,0,577,en,1
Tatyana Farley,3200,1271,55,28,0,611,en,1
Elena Benson,3200,1015,65,25,0,639,en,1
Tambra Fowler,3200,1073,47,16,0,552,en,1
Darcel Ward,3200,236,67,23,0,684,en,1
Leonia Tran,3200,1265,69,27,0,698,en,1
Pandora Carr,3200,1477,59,20,0,618,en,1
Melia Hughes,3200,898,41,15,0,558,en,1
Dion Burke,3200,821,56,20,0,734,en,1
Luanna Robertson,3200,320,44,22,0,572,en,1
Ettie Miles,3200,968,72,21,0,721,en,1
Cristen Davenport,3200,210,52,25,0,527,en,1
Collen Harper,3200,152,59,24,0,656,en,1
Joni Whitley,3200,1427,70,22,0,639,en,1
Aline Petersen,3200,790,57,27,0,565,en,1
Rodolfo Mullins,3200,1634,55,22,0,511,en,1
Emeline Keith,3200,694,57,21,0,579,en,1
Magdalen Bush,3200,952,51,25,0,623,en,1
Mayra Valdez,3200,689,65,23,0,640,en,1
Marin Saunders,3200,1397,56,26,0,496,en,1
Shane Rivers,3200,150,63,21,0,654,en,1
Tamala Mullen,3200,923,47,17,0,609,en,1
Demetrice Brooks,3200,77,60,25,0,561,en,1
Dodie Alvarez,3200,845,68,18,0,606,en,1
Tu Gonzales,3200,707,64,24,0,721,en,1
Karol Walters,3200,105,69,26,0,587,en,1
Brandon Bradford,3200,474,61,27,0,782,en,1
Devin Carney,3200,103,96,38,0,827,en,1
Veronika Morrison,3200,1636,50,19,0,506,en,1
Carmen Gillespie,3200,877,67,27,0,703,en,1
Reita Acevedo,3200,63,67,19,0,624,en,1
Tory Hunt,3200,414,56,26,0,611,en,1
Fausto Hoffman,3200,415,54,18,0,551,en,1
Glynda Powers,3200,582,46,22,0,575,en,1
Shantell Page,3200,41,46,15,0,542,en,1
Doreen Eaton,3200,161,66,27,0,653,en,1
Christin Cabrera,3200,1265,38,16,0,515,en,1
Chae Oneal,3200,452,42,12,0,535,en,1
Jill Solomon,3200,1537,64,25,0,626,en,1
Laurence Cotton,3200,1102,66,22,0,637,en,1
Elbert Dunn,3200,1384,69,24,0,712,en,1
Winford Clemons,3200,1288,55,15,0,543,en,1
Valery Kirkland,3200,804,56,27,0,511,en,1
Ashanti Vang,3200,232,54,23,0,470,en,1
Clorinda Walls,3200,1606,57,20,0,636,en,1
Moira Macias,3200,1373,59,24,0,582,en,1
Zella Ryan,3200,643,62,20,0,537,en,1
Maynard Levy,3200,1146,59,15,0,563,en,1
Anisha Williams,3200,750,52,23,0,548,en,1
Lolita Slater,3200,878,44,7,0,442,en,1
Loren Ferrell,3200,1416,52,18,0,519,en,1
Zoila Juarez,3200,4,62,17,0,610,en,1
Mercedez Harper,3200,969,55,19,0,527,en,1
Delena Brown,3200,1375,69,20,0,600,en,1
Arron West,3200,1282,71,16,0,672,en,1
Bernie Kline,3200,5,48,23,0,543,en,1
Evon Carver,3200,492,48,22,0,500,en,1
Brett Gill,3200,1436,53,18,0,524,en,1
Quinton Wiley,3200,827,57,19,0,593,en,1
Venita Hubbard,3200,1156,47,18,0,515,en,1
Mike David,3200,1522,67,30,0,579,en,1
Christinia Patton,3200,1451,67,24,0,736,en,1
Ismael King,3200,269,47,27,0,534,en,1
Olimpia Foreman,3200,1244,39,21,0,523,en,1
Carri Webster,3200,1034,60,21,0,555,en,1
Albert Roach,3200,1232,52,21,0,527,en,1
Cathryn Brady,3200,1111,51,24,0,544,en,1
Brunilda Yang,3200,853,53,17,0,452,en,1
Noel Morse,3200,924,65,17,0,607,en,1
Travis Lancaster,3200,1062,43,21,0,535,en,1
Ngoc Nixon,3200,1383,48,22,0,568,en,1
Pasty Flores,3200,1409,43,17,0,523,en,1
Luther Mckinney,3200,951,61,20,0,537,en,1
Jenny Ortiz,3200,194,53,20,0,518,en,1
Roseann Woodard,3200,303,46,16,0,529,en,1
Jennell Park,3200,751,42,21,0,534,en,1
Maud Jennings,3200,187,45,25,0,513,en,1
Kam Fisher,3200,530,52,15,0,543,en,1
Edmund Sargent,3200,658,63,20,0,572,en,1
Pamala Castaneda,3200,1326,51,25,0,508,en,1
Chelsea Dyer,3200,42,52,28,0,540,en,1
Deirdre Duran,3200,1045,56,25,0,527,en,1
Gracie Howard,3200,1663,53,19,0,566,en,1
Krysten Norman,3200,873,64,19,0,556,en,1
Tasia Hoffman,3200,942,40,22,0,527,en,1
Ludivina Clay,3200,1377,58,20,0,524,en,1
Avril Hinton,3200,1207,48,27,0,536,en,1
Fernande Mueller,3200,1261,57,18,0,513,en,1
Basil Sanders,3200,1062,45,23,0,529,en,1
Lakia Murphy,3200,645,56,11,0,554,en,1
Brittani Sutton,3200,939,39,15,0,546,en,1
Jed Gordon,3200,1039,53,22,0,544,en,1
Benjamin Rowland,3200,1563,63,22,0,575,en,1
Kristan Dixon,3200,862,52,19,0,495,en,1
Narcisa Hartman,3200,1151,40,20,0,548,en,1
Gerald Manning,3200,823,39,22,0,595,en,1
Marjory Gamble,3200,1403,57,22,0,623,en,1
Reynalda Pugh,3200,1230,60,15,0,540,en,1
Merri Moon,3200,813,47,23,0,520,en,1
Carline Carey,3200,156,61,37,0,726,en,1
Sarita Gill,3200,1481,57,23,0,528,en,1
Wan Fowler,3200,1662,56,24,0,507,en,1
Bev Giles,3200,1385,42,15,0,512,en,1
Apolonia Nielsen,3200,1390,51,22,0,547,en,1
Sammie Austin,3200,222,47,18,0,503,en,1
Herschel Franks,3200,262,40,22,0,468,en,1
Brande Hubbard,3200,155,61,17,3,520,en,1
Lisha Dunn,3200,408,64,23,0,603,en,1
Chiquita Meyer,3200,821,58,24,0,706,en,1
George Ochoa,3200,1260,54,23,0,512,en,1
Rosendo Parsons,3200,1258,41,18,0,538,en,1
Lavelle Alexander,3200,515,54,13,0,504,en,1
Man Best,3200,1566,46,17,0,506,en,1
Marcelino Stuart,3200,208,49,16,0,559,en,1
An Little,3200,990,52,31,0,583,en,1
Rolanda Henson,3200,1090,44,21,0,557,en,1
Darron Bullock,3200,453,58,26,0,648,en,1
Starr Whitley,3200,806,62,23,0,549,en,1
Sanjuana Martin,3200,1116,45,20,0,515,en,1
Roma Stout,3200,355,51,20,0,518,en,1
Christal Mcdaniel,3200,1257,58,21,0,551,en,1
Lavone Humphrey,3200,36,44,26,0,501,en,1
Blair Booker,3200,1430,55,15,0,498,en,1
Brandie Meyer,3200,230,40,20,0,511,en,1
Sacha Dillard,3200,543,44,25,0,593,en,1
Salvatore Pacheco,3200,285,49,28,0,506,en,1
Frankie Diaz,3200,275,51,18,0,535,en,1
Warren Harrison,3200,1157,67,27,0,616,en,1
Connie Bush,3200,619,44,19,0,547,en,1
Kelly Oneal,3200,183,42,26,0,532,en,1
Sheila Marshall,3200,1475,52,15,0,565,en,1
Xiomara Chavez,3200,629,55,25,0,526,en,1
Trent Bullock,3200,1667,43,33,0,651,en,1
Eulalia Woodard,3200,1178,52,18,0,508,en,1
Leila Walls,3200,1376,62,16,0,561,en,1
Rosaura Cherry,3200,438,37,16,0,445,en,1
Kali Sparks,3200,713,50,13,0,547,en,1
Roxana Malone,3200,1602,46,35,0,519,en,1
Margurite Rogers,3200,469,44,19,0,404,en,1
Tobi Horton,3200,465,56,24,0,483,en,1
Martha Hill,3200,1130,48,19,0,427,en,1
Harley Dodson,3200,607,39,14,0,432,en,1
Willie Harper,3200,1346,44,31,0,628,en,1
Verda Quinn,3200,611,69,18,0,627,en,1
Angeline Dean,3200,1192,60,28,0,625,en,1
Rowena Solis,3200,780,49,22,0,581,en,1
Kandi Baird,3200,1495,65,19,0,617,en,1
Pat Pittman,3200,177,67,15,0,593,en,1
Chris Hahn,3200,430,0,0,0,0,en,1
Maya Patterson,3200,174,59,28,0,615,en,1
Cassidy Becker,3200,966,64,22,0,624,en,1
Brittni Cameron,3200,205,54,27,0,773,en,1
Chasity Acevedo,3200,1341,65,26,0,619,en,1
Jennefer Workman,3200,239,63,21,0,782,en,1
Lakenya Bean,3200,432,65,17,0,650,en,1
Cyril Branch,3200,1212,65,23,0,838,en,1
Evelyne Keller,3200,45,52,16,0,573,en,1
Cicely Parsons,3200,432,71,23,0,666,en,1
Randall Kidd,3200,376,70,23,0,603,en,1
Fernando Nichols,3200,1506,60,23,0,738,en,1
Jeniffer Shepard,3200,1265,62,20,0,730,en,1
Kathline Watkins,3200,1261,58,20,0,593,en,1
Melina Rowe,3200,1417,64,15,0,601,en,1
Peg Harding,3200,1672,56,18,0,614,en,1
Susy Hansen,3200,617,114,26,0,1098,en,1
Sidney Maxwell,3200,821,83,21,0,713,en,1
Dortha Peck,3200,180,83,19,0,699,en,1
Percy Gallegos,3200,279,62,29,0,651,en,1
Ronald Forbes,3200,321,69,15,0,668,en,1
Ashely Farley,3200,316,72,18,0,658,en,1
Stacee Griffin,3200,454,69,22,0,617,en,1
Jesse Parks,3200,318,153,31,0,1152,en,1
Vern Hester,3200,140,51,22,0,672,en,1
Criselda Blanchard,3200,581,43,15,0,573,en,1
Evangeline Edwards,3200,1015,58,26,0,639,en,1
Kami Bolton,3200,1175,64,23,0,621,en,1
Wm Burt,3200,368,51,23,0,584,en,1
Ruben Oneal,3200,338,115,27,0,962,en,1
Madeline Woodward,3200,531,64,28,0,708,en,1
Nathanael Michael,3200,1286,94,32,0,1015,en,1
Shandra Watts,3200,468,68,19,0,641,en,1
Gabriel Robles,3200,1297,89,20,0,850,en,1
Micaela Ward,3200,1176,55,26,0,626,en,1
Albertina Kennedy,3200,593,70,21,0,843,en,1
Bambi Tate,3200,627,55,13,0,740,en,1
Deangelo Huff,3200,529,73,18,0,619,en,1
Nevada Stevenson,3200,476,50,17,0,587,en,1
Man Bush,3200,623,75,28,0,687,en,1
Angelo Mcintyre,3200,1245,58,22,0,585,en,1
Barbie Welch,3200,1096,56,18,0,656,en,1
Elvera Stein,3200,502,70,28,0,771,en,1
Tristan Ross,3200,46,67,18,0,636,en,1
Andy Gross,3200,424,73,27,0,718,en,1
Yahaira Fuller,3200,1170,74,19,0,736,en,1
Julissa Harmon,3200,392,60,24,0,549,en,1
Shirleen Sloan,3200,1500,63,20,1,715,en,1
Robert Shields,3200,231,64,26,0,585,en,1
Brendon Greene,3200,1274,52,16,0,699,en,1
Leandro Rich,3200,1531,64,16,0,602,en,1
Leanora House,3200,785,47,25,0,575,en,1
Troy Preston,3200,913,69,13,0,526,en,1
Bobette Lopez,3200,187,65,19,0,808,en,1
Felice Blanchard,3200,1519,76,15,0,651,en,1
Christal Tillman,3200,460,50,17,0,519,en,1
Lawanda Hayden,3200,1344,54,22,0,595,en,1
Garret Norton,3200,1261,68,20,0,664,en,1
Ja Avery,3200,1265,51,14,0,530,en,1
Burl Carpenter,3200,1246,50,22,0,530,en,1
Keenan Dalton,3200,1481,53,24,0,646,en,1
Azzie Chapman,3200,352,56,23,0,565,en,1
John Patrick,3200,1497,65,30,0,734,en,1
Zelma Rivera,3200,1230,52,24,0,579,en,1
Ailene Spence,3200,1176,80,33,0,852,en,1
Lisette Hicks,3200,1176,53,27,0,625,en,1
Lenard Gardner,3200,332,60,25,0,652,en,1
Aileen Gilmore,3200,291,60,20,0,564,en,1
Sang Bailey,3200,542,48,28,0,771,en,1
Reginia Warren,3200,340,68,15,0,521,en,1
Hyman Coffey,3200,242,78,20,0,647,en,1
Nam Robbins,3200,1610,58,23,0,549,en,1
Vickey Monroe,3200,1623,49,24,0,538,en,1
Audra Adams,3200,506,62,22,0,517,en,1
Myrna Hartman,3200,931,55,19,0,551,en,1
Anette Puckett,3200,203,59,19,0,594,en,1
Earlie Goodman,3200,181,60,21,0,552,en,1
Tristan Yang,3200,93,44,29,0,481,en,1
Domenica Santana,3200,372,54,25,0,524,en,1
Carri Mclaughlin,3200,648,56,21,0,507,en,1
Eddie Carr,3200,83,72,20,0,702,en,1
Diann Lester,3200,1279,64,27,0,557,en,1
Ashly Leon,3200,840,57,21,0,577,en,1
Viva Case,3200,1270,51,18,0,548,en,1
Kathryn Strong,3200,832,59,17,0,566,en,1
Delbert Bryan,3200,1163,61,22,0,560,en,1
Edie Boyd,3200,65,41,26,0,588,en,1
Evan Fitzpatrick,3200,1180,57,22,0,518,en,1
Pauletta Hopkins,3200,1461,36,20,0,565,en,1
Lorinda Hyde,3200,1194,40,23,0,582,en,1
Briana Woods,3200,1076,36,17,0,547,en,1
Carlena Webster,3200,99,77,29,0,753,en,1
Vanessa Jordan,3200,176,64,17,0,624,en,1
Elizbeth Frederick,3200,1485,41,19,0,665,en,1
Iesha Parks,3200,958,48,29,0,517,en,1
Emmett Mccall,3200,1261,49,19,0,507,en,1
Francie Bailey,3200,1110,41,16,0,531,en,1
Rosaline Joyner,3200,513,66,23,0,583,en,1
Flor Booth,3200,70,58,19,0,499,en,1
Malissa Ross,3200,1277,51,25,0,552,en,1
Celeste Flores,3200,527,56,24,0,584,en,1
Danyelle Kirby,3200,548,62,14,0,562,en,1
Mica Spence,3200,814,53,15,0,578,en,1
Nan Clay,3200,348,50,25,0,489,en,1
Glennis Hamilton,3200,1518,48,18,0,500,en,1
Angelina Hess,3200,246,39,16,0,451,en,1
Odette Duke,3200,785,63,28,0,634,en,1
Margarete Wynn,3200,22,58,20,1,607,en,1
Lanny Combs,3200,1230,52,16,0,493,en,1
Delicia Vance,3200,597,62,22,0,505,en,1
Saul Merrill,3200,3,58,15,0,475,en,1
Rita Evans,3200,1368,61,25,0,619,en,1
Ettie Hubbard,3200,1403,46,20,0,534,en,1
Jere Guerrero,3200,1265,48,22,0,541,en,1
Richelle Skinner,3200,226,55,20,0,566,en,1
Manda Cantu,3200,169,48,21,0,549,en,1
Agueda Carlson,3200,1546,50,15,0,508,en,1
Benedict Pugh,3200,717,46,20,0,502,en,1
Refugio Nixon,3200,348,40,18,0,525,en,1
Cecille Watkins,3200,1649,47,32,0,522,en,1
Amos Cohen,3200,193,57,16,0,519,en,1
Maegan Valdez,3200,1264,48,10,0,408,en,1
Aldo Garza,3200,171,75,34,0,749,en,1
Ilona Mcmahon,3200,673,60,15,0,559,en,1
Eve Robinson,3200,1357,55,23,0,548,en,1
Lissa Fuller,3200,1455,39,25,0,511,en,1
Armand Gamble,3200,1645,59,23,0,543,en,1
Harrison Wilson,3200,275,43,23,0,492,en,1
Vella Watkins,3200,844,58,23,0,585,en,1
Marlys Velazquez,3200,1191,44,26,0,595,en,1
Jenice Hines,3200,286,49,22,0,478,en,1
Leeanne Riggs,3200,961,40,17,0,446,en,1
Louella Holman,3200,19,42,19,0,473,en,1
Kennith Holder,3200,1460,57,24,0,490,en,1
Sherilyn Finley,3200,1053,41,24,0,462,en,1
Latoyia Hopper,3200,1044,49,18,0,501,en,1
Glenna Carver,3200,1534,45,21,0,491,en,1
Lucien Barker,3200,524,59,26,0,630,en,1
Dionne Kidd,3199,1190,42,19,0,434,en,1
Ileana Chase,3199,1171,26,20,0,461,en,1
Jose Hodges,3200,869,44,16,0,485,en,1
Edie Ray,3200,660,59,25,0,644,en,1
Floria Dunn,3199,1638,41,16,0,451,en,1
Odis Cobb,3199,402,40,24,0,404,en,1
Maurita Atkins,3200,287,42,20,0,474,en,1
Valene Brennan,3199,503,31,22,0,393,en,1
Miriam Stout,3199,912,53,20,0,460,en,1
Loreta Cline,3200,674,40,20,0,498,en,1
Lennie Newman,3200,744,47,13,0,483,en,1
Shante Brewer,3200,1559,45,16,0,438,en,1
Jonell Cardenas,3199,192,51,19,0,511,en,1
Raul Wise,3200,241,49,21,0,527,en,1
Preston Melendez,3199,841,54,22,0,517,en,1
Jordon George,3199,1566,44,16,0,355,en,1
Princess Tyson,3199,276,35,20,0,412,en,1
Annie Miranda,3200,1342,54,18,0,456,en,1
Lavina Petersen,3199,793,41,9,0,440,en,1
Adell Reese,3200,949,38,26,0,464,en,1
Estelle Santos,3199,370,39,24,0,390,en,1
Bernetta Sexton,3199,1255,25,12,0,394,en,1
Tad Burt,3199,353,35,18,0,421,en,1
Kerrie Estrada,3199,1481,48,13,0,403,en,1
Nita Stuart,3199,388,38,24,0,404,en,1
Branda Ryan,3199,706,39,19,0,377,en,1
Gerard Allison,3199,609,46,17,0,397,en,1
Justina Ware,3199,1000,45,21,0,399,en,1
Rosalind Collier,3199,520,33,21,0,414,en,1
Hilma Rivas,3199,229,41,23,0,431,en,1
Theodore Deleon,3199,821,39,15,0,395,en,1
Morris Holden,3199,860,52,26,0,398,en,1
Romeo Fuentes,3199,1166,35,13,0,379,en,1
Freida Gillespie,3199,207,45,21,0,484,en,1
Tegan Durham,3199,867,39,14,0,529,en,1
Sammy Mclean,3199,950,28,21,0,464,en,1
Diedra Fuller,3199,1453,34,10,0,415,en,1
Santos Noel,3199,335,47,19,0,384,en,1
Sherril Ayala,3199,588,43,27,0,400,en,1
Cherlyn Lopez,3199,350,42,19,0,401,en,1
Joseph Calderon,3199,986,34,13,0,429,en,1
Lizette Finley,3199,1376,32,13,0,374,en,1
Stephan Fields,3199,1431,37,22,0,363,en,1
Noella Phillips,3199,297,44,25,0,400,en,1
Barbra Moss,3199,1127,38,10,0,405,en,1
Nathaniel Padilla,3199,677,31,20,0,397,en,1
Oscar Norton,3199,818,54,18,0,400,en,1
Ling Richard,3199,1161,29,18,0,373,en,1
Paris Woodward,3199,660,28,18,0,390,en,1
Oma Gallegos,3199,772,35,11,0,394,en,1
Lizzette Barnes,3199,138,39,18,0,382,en,1
Dale Haney,3199,1174,42,21,0,418,en,1
Val Morgan,3199,360,29,12,0,365,en,1
Teofila Barrett,3199,946,36,19,0,394,en,1
Natalia Buckley,3199,1565,41,24,0,431,en,1
Chana Hampton,3199,1276,46,15,0,399,en,1
Carrol Flowers,3199,1401,30,15,0,381,en,1
Abbie House,3199,620,40,23,0,389,en,1
Chauncey Farley,3199,1277,37,15,0,384,en,1
Mozelle Kemp,3199,1591,42,10,0,388,en,1
Trinity Sellers,3199,1408,37,19,0,411,en,1
Donette Thomas,3199,887,27,20,0,359,en,1
Kareen Flynn,3199,15,36,18,0,353,en,1
Milly Black,3199,1183,41,19,0,354,en,1
Vi Cunningham,3199,789,44,16,0,402,en,1
Morgan Fox,3199,1422,38,15,0,344,en,1
Mercedez Rosales,3199,1224,33,23,0,408,en,1
Mallory Brewer,3199,554,38,20,0,365,en,1
Curt Delacruz,3199,1162,31,25,0,360,en,1
Cuc Sheppard,3199,374,30,20,0,358,en,1
Willie Cross,3199,1324,49,12,0,366,en,1
Heike Cotton,3199,779,38,18,0,364,en,1
Tarah Bell,3199,1476,149,43,0,936,en,1
Hildred Vargas,3199,821,47,21,0,365,en,1
Debi Mckay,3199,522,34,20,0,406,en,1
Bertie Fuentes,3199,370,40,18,0,386,en,1
Velvet Gay,3199,1578,43,14,0,404,en,1
Bernardina Booker,3199,290,37,13,0,404,en,1
Laurence Marshall,3199,1140,33,18,0,390,en,1
Esmeralda Doyle,3199,121,44,14,0,398,en,1
Consuela Callahan,3199,459,33,15,1,340,en,1
Jasper Rodriguez,3199,1068,40,18,0,452,en,1
Jillian England,3199,923,27,21,0,365,en,1
Enola Hansen,3199,1213,44,16,0,385,en,1
Nu Steele,3199,923,36,18,0,373,en,1
Yoshie Benton,3199,849,38,25,0,379,en,1
Joe Flowers,3199,210,39,28,0,407,en,1
Berna Burton,3199,485,30,20,0,407,en,1
Su Cook,3199,707,30,16,0,385,en,1
Emile Hewitt,3199,773,51,16,0,375,en,1
Elna Foley,3199,354,38,13,0,391,en,1
Moises Martin,3199,1567,35,17,0,360,en,1
Lorriane Houston,3199,110,111,32,0,954,en,1
Rodger Dominguez,3199,424,51,23,0,351,en,1
Yolande Preston,3199,534,40,23,0,407,en,1
Sena Potts,3199,1574,38,18,0,381,en,1
Hilaria Alford,3199,1566,28,12,0,402,en,1
Lauri Dickson,3199,1582,50,12,0,393,en,1
Shaquita Atkins,3199,357,39,14,0,379,en,1
Dorsey Stafford,3199,1100,37,21,0,337,en,1
Sharyl Jarvis,3199,1265,37,21,0,424,en,1
Terrence Acevedo,3199,983,36,19,0,384,en,1
Claretta Reeves,3199,626,37,21,0,360,en,1
Sherell Cantrell,3199,279,34,16,0,380,en,1
Malcolm Mullen,3199,118,36,16,0,346,en,1
Samuel Bradley,3199,1452,46,15,0,422,en,1
Maris Beasley,3199,667,33,22,0,432,en,1
Jenell Haley,3199,1177,14,18,0,315,en,1
Katheryn Wyatt,3199,647,38,24,0,395,en,1
Cathryn Bean,3199,1033,40,18,0,358,en,1
Zachery Odonnell,3199,1356,31,16,0,329,en,1
Benito Nelson,3199,1450,61,29,0,476,en,1
